root,cell,n,captured_count,captured_percent,captured_wilson_lo,captured_wilson_hi,crash_count,crash_percent,crash_wilson_lo,crash_wilson_hi,timeout_count,timeout_percent,timeout_wilson_lo,timeout_wilson_hi
A7_ref5in_s509,dwa_arc,2049,1623,79.20937042459737,77.39839425877875,80.9110282666045,214,10.444119082479258,9.193090242174403,11.843188860878016,212,10.346510492923377,9.101124721467892,11.740302510154676
A7_ref5in_s509,riskcap,2051,1463,71.33105802047781,69.33551557823053,73.24684503377387,385,18.771331058020476,17.14035820129811,20.519065862727444,203,9.897610921501707,8.679210078479379,11.265951970952338
A7_ref5in_s509,riskcap_arc,2050,1440,70.24390243902438,68.22844735451285,72.18363004490736,392,19.121951219512194,17.477952644565082,20.881457008849402,218,10.634146341463415,9.372523965882678,12.043026729702609
A7_ref5in_s509,stopcap,2049,1392,67.93557833089312,65.88276272302384,69.9212686522115,252,12.298682284040996,10.946780535235687,13.791684124983918,405,19.765739385065885,18.098698741470166,21.54593408313313
A7_ref5in_s491,dwa_arc,2049,1598,77.98926305514885,76.14384512175224,79.72992901075786,240,11.71303074670571,10.39174899704387,13.177604434596626,211,10.297706198145438,9.055155519402726,11.688845776504914
A7_ref5in_s491,riskcap,2049,1444,70.47340165934602,68.46143360608374,72.40874642632775,376,18.350414836505614,16.734150444383246,20.08513024448719,229,11.176183504148366,9.883943087332755,12.61372505144356
A7_ref5in_s491,riskcap_arc,2049,1468,71.6447047340166,69.6540279271083,73.55437456246142,398,19.424109321620303,17.76900107839946,21.193650196199357,183,8.931185944363104,7.7719455396167465,10.244129556272965
A7_ref5in_s491,stopcap,2049,1367,66.71547096144461,64.64547894895333,68.72290403340885,263,12.835529526598341,11.456476257062594,14.353673696021199,419,20.44899951195705,18.75868778623206,22.2499081383802
A7_ep25000_205_s49,dwa_arc,2049,1652,80.62469497315764,78.85669256143254,82.27808209968356,342,16.691068814055637,15.139106970520524,18.36769190404243,55,2.6842362127867254,2.068040275360238,3.477515049018937
A7_ep25000_205_s49,riskcap,2050,1675,81.70731707317073,79.97497047635285,83.32105436611252,327,15.951219512195122,14.430089914073168,17.599717255094777,48,2.341463414634146,1.7705773881772005,3.0906283486094464
A7_ep25000_205_s49,riskcap_arc,2050,1654,80.6829268292683,78.91720997023354,82.33386637732144,345,16.82926829268293,15.272106162961505,18.510514001843944,51,2.4878048780487805,1.8972337537018644,3.256107482357699
A7_ep25000_205_s49,stopcap,2049,1429,69.74133723767692,67.71685760958808,71.69193338709951,333,16.251830161054173,14.717820793200872,17.912144659927744,287,14.006832601268911,12.571359378420263,15.577013031821755
A8_readapt_s521,S_dwa_arc,2050,1584,77.26829268292683,75.40405946893499,79.03052189558525,232,11.317073170731708,10.017417589799365,12.761432102392867,234,11.414634146341465,10.109676940141451,12.863929751566062
A8_readapt_s521,S_off,2049,1414,69.00927281600781,66.972878117043,70.9745238439207,440,21.473889702293803,19.750101040363262,23.304439534262443,195,9.51683748169839,8.32092854537777,10.864257779091052
A8_readapt_s521,S_riskcap,2049,1469,71.69350902879454,69.70375402686125,73.60207439842338,360,17.569546120058565,15.982869540392578,19.277596177039044,220,10.736944851146902,9.469199779016165,12.15163493832581
A8_readapt_s521,T0_dwa_arc,2049,1823,88.97022938018546,87.54022959465182,90.25438007371665,192,9.370424597364568,8.183541294783971,10.709367222540072,34,1.6593460224499756,1.189857164108666,2.309753510257061
A8_readapt_s521,T0_off,2049,1593,77.74524158125915,75.89321053786404,79.49343391607142,424,20.693020985846754,18.99458553229916,22.501140070887732,32,1.5617374328940947,1.108414334075003,2.1963444688608718
A8_readapt_s521,T0_riskcap,2049,1700,82.96730112249878,81.27827131283783,84.53294826259473,319,15.568570034163006,14.06331442229593,17.202687930823725,30,1.4641288433382138,1.0274893038275459,2.0824176276784767
A8_readapt_s521,T1_off,2051,1519,74.06143344709898,72.12083575086288,75.9120670194781,503,24.524622135543638,22.711424680166097,26.43307036035436,29,1.4139444173573867,0.9862719370880537,2.0232769775121957
A8_readapt_s521,T1_riskcap,2050,1660,80.97560975609757,79.21923474245784,82.61611260364296,358,17.46341463414634,15.88122116654262,19.167319495112135,32,1.5609756097560976,1.1078726138242716,2.1952771268401494
A8_readapt_s521,T2_dwa_arc,2049,1766,86.18838457784285,84.62662104225984,87.61471029035783,226,11.029770619814544,9.745619926283347,12.459770405348184,57,2.781844802342606,2.153342763230898,3.587064432578129
A8_readapt_s521,T2_off,2049,1411,68.862859931674,66.82415274537105,70.83097140844788,610,29.770619814543682,27.83012421121048,31.78682543495266,28,1.3665202537823329,0.9471322917717654,1.9679227683044052
D1gate_T0_s523,T0_d070_off,2050,1592,77.65853658536585,75.8046417755287,79.40896758705266,431,21.024390243902438,19.3154808765445,22.841690267417906,27,1.3170731707317074,0.9067415591714069,1.9095156827048192
D1gate_T0_s523,T0_d100_off,2050,1429,69.70731707317073,67.68277280486258,71.65814109722358,595,29.024390243902438,27.10031888283891,31.0269262213763,26,1.2682926829268293,0.8669785094012179,1.8519002327173695
