root,cell,result_path,result_sha256,actual_episodes,checkpoint_sha256,runtime_git_commit,runtime_source_manifest_sha256,runtime_git_dirty,cond_bars,cond_seed,cond_num_envs,cond_robot_name,cond_goal_dist_min_m,cond_goal_dist_max_m,cond_action_selection,cond_reflection_mode,cond_distractor_count,cond_speed_governor_mode,cond_speed_governor_half_width_m,cond_speed_governor_margin_m,cond_speed_governor_fixed_mps,cond_speed_governor_free_mps,cond_speed_governor_slow_m,cond_speed_governor_release_m,cond_speed_governor_brake_mps2,cond_speed_governor_reaction_s,cond_speed_governor_ttc_s,cond_speed_governor_width_per_mps,cond_speed_governor_width_per_open_m,cond_speed_governor_width_open_ref_m,cond_speed_governor_width_max_m,cond_speed_governor_lateral_margin_m,cond_speed_governor_yaw_cap_radps,n_captured,rate_captured,n_crash,rate_crash,n_timeout,rate_timeout,gov_intervention_rate,gov_mean_executed_mps,gov_mean_requested_mps,gov_samples,contacts,contact_vertical_out,contact_behind,contact_lateral,contact_no_return,contact_in_corridor,contact_records_path,contact_records_rows,frame_samples_rows,req_gov,req_gov_half_width_m,req_gov_width_max_m,req_gov_width_open_ref_m,req_gov_width_per_open_m
A7_ep25000_205_s49,riskcap_arc,results/navrl_arc_attribution_205bars_seed49/riskcap_arc/205bars.json,2b42a7c39f23443287059be886f41e672f0d67f2614672389c2bc0d3cf340682,2050,f702213936601860,742022e818d5,921a964890491d71,False,205,49,128,navrl_quad,6.0,28.0,deterministic,original,0,riskcap_arc,0.45,0.45,2.0,3.53553390593,3.0,5.0,2.0,0.1,1.0,,,,,,,1654,0.806829268292683,345,0.16829268292682928,51,0.024878048780487806,0.33085738539898135,2.6860302283424238,2.955835083297986,301568,326,0,5,224,26,71,,,,,,,,
A7_ep25000_205_s49,stopcap,results/navrl_arc_attribution_205bars_seed49/stopcap/205bars.json,e7e2f2a0f4608509e737a361a4e5888d271d6b4c9fedb5a095938294b36a4a64,2049,f702213936601860,742022e818d5,921a964890491d71,False,205,49,128,navrl_quad,6.0,28.0,deterministic,original,0,stopcap,0.45,0.45,2.0,3.53553390593,3.0,5.0,2.0,0.1,1.0,,,,,,,1429,0.6974133723767691,333,0.16251830161054173,287,0.14006832601268912,0.45307659814136864,1.763711029723242,3.081442058977123,454528,324,0,8,189,33,94,,,,,,,,
A8_readapt_s521,S_dwa_arc,results/navrl_a8_readaptation_seed521/S_dwa_arc/70bars.json,925fb683b8ed4aa800d50108021d5e79eb88fc87619025e0ba0a41d24ea27108,2050,197ea26999d6bb9c,71ce1ffcad9c,df617e80457e46f9,False,70,521,128,navrl_ref5in_quad,22.5,28.0,deterministic,original,0,dwa_arc,0.45,0.45,2.0,3.53553390593,3.0,5.0,2.0,0.1,1.0,,,,,,,1584,0.7726829268292683,232,0.11317073170731708,234,0.11414634146341464,0.03942325036075036,2.230652063032425,2.2678292592484337,532224,88,0,1,45,23,19,,,,,,,,
A8_readapt_s521,S_off,results/navrl_a8_readaptation_seed521/S_off/70bars.json,c3968f4ec14e8fc2c4055f1e34e304a9f6cdd3ae9e9bfa1db774fc578120c16a,2049,197ea26999d6bb9c,71ce1ffcad9c,df617e80457e46f9,False,70,521,128,navrl_ref5in_quad,22.5,28.0,deterministic,original,0,off,0.45,0.45,2.0,3.53553390593,3.0,5.0,2.0,0.1,1.0,,,,,,,1414,0.690092728160078,440,0.21473889702293802,195,0.0951683748169839,0.0,2.2781184775884302,2.2781184775884302,480128,297,0,9,168,66,54,,,,,,,,
A8_readapt_s521,S_riskcap,results/navrl_a8_readaptation_seed521/S_riskcap/70bars.json,caa28889fefb30e844d5e9f639c5adf1079c6e1099b025cae0a2d5b6ce7657c2,2049,197ea26999d6bb9c,71ce1ffcad9c,df617e80457e46f9,False,70,521,128,navrl_ref5in_quad,22.5,28.0,deterministic,original,0,riskcap,0.45,0.45,2.0,3.53553390593,3.0,5.0,2.0,0.1,1.0,,,,,,,1469,0.7169350902879453,360,0.17569546120058566,220,0.10736944851146901,0.05567739946889226,2.2310495290904324,2.2696576321416564,506112,231,0,6,132,41,52,,,,,,,,
A8_readapt_s521,T0_dwa_arc,results/navrl_a8_readaptation_seed521/T0_dwa_arc/70bars.json,be250373eb75cdb9a7085c45c25798beda2bd45e7d8647baf55facd9255bdb0b,2049,ea6f6e83dc7b6706,71ce1ffcad9c,df617e80457e46f9,False,70,521,128,navrl_ref5in_quad,22.5,28.0,deterministic,original,0,dwa_arc,0.45,0.45,2.0,3.53553390593,3.0,5.0,2.0,0.1,1.0,,,,,,,1823,0.8897022938018546,192,0.09370424597364568,34,0.016593460224499756,0.07146447054140127,2.934308393065127,3.005212915932901,401920,135,0,0,63,26,46,,,,,,,,
A8_readapt_s521,T0_off,results/navrl_a8_readaptation_seed521/T0_off/70bars.json,c53eed79e989bdce57e2f29dd535148882d8224fab045b65353b5e8209b1445c,2049,ea6f6e83dc7b6706,71ce1ffcad9c,df617e80457e46f9,False,70,521,128,navrl_ref5in_quad,22.5,28.0,deterministic,original,0,off,0.45,0.45,2.0,3.53553390593,3.0,5.0,2.0,0.1,1.0,,,,,,,1593,0.7774524158125915,424,0.20693020985846755,32,0.015617374328940947,0.0,3.003110686231598,3.003110686231598,367744,377,0,7,217,60,93,,,,,,,,
A8_readapt_s521,T0_riskcap,results/navrl_a8_readaptation_seed521/T0_riskcap/70bars.json,e9766579f9eb37b4404c550eae21209f320eb488fb3127f75f7822b1367fa659,2049,ea6f6e83dc7b6706,71ce1ffcad9c,df617e80457e46f9,False,70,521,128,navrl_ref5in_quad,22.5,28.0,deterministic,original,0,riskcap,0.45,0.45,2.0,3.53553390593,3.0,5.0,2.0,0.1,1.0,,,,,,,1700,0.8296730112249878,319,0.15568570034163007,30,0.014641288433382138,0.09599582765667575,2.9385231567144934,3.014621249074159,375808,268,0,1,175,46,46,,,,,,,,
A8_readapt_s521,T1_off,results/navrl_a8_readaptation_seed521/T1_off/70bars.json,954ab20b383d972a9a6af7df6a761a6cb07defd35871a67bb70eb9c5b391b6ae,2051,4e657c59070802d3,71ce1ffcad9c,df617e80457e46f9,False,70,521,128,navrl_ref5in_quad,22.5,28.0,deterministic,original,0,off,0.45,0.45,2.0,3.53553390593,3.0,5.0,2.0,0.1,1.0,,,,,,,1519,0.7406143344709898,503,0.24524622135543636,29,0.014139444173573866,0.0,2.8978652152771,2.8978652152771,358272,424,0,3,194,115,112,,,,,,,,
A8_readapt_s521,T1_riskcap,results/navrl_a8_readaptation_seed521/T1_riskcap/70bars.json,2e98ff1938e2dfce63f98e6490bb900580ccfb0e8bf87f620812989928110446,2050,4e657c59070802d3,71ce1ffcad9c,df617e80457e46f9,False,70,521,128,navrl_ref5in_quad,22.5,28.0,deterministic,original,0,riskcap,0.45,0.45,2.0,3.53553390593,3.0,5.0,2.0,0.1,1.0,,,,,,,1660,0.8097560975609757,358,0.1746341463414634,32,0.015609756097560976,0.10175971894984853,2.821861148679298,2.9079893493679623,380288,281,0,1,145,71,64,,,,,,,,
A8_readapt_s521,T2_dwa_arc,results/navrl_a8_readaptation_seed521/T2_dwa_arc/70bars.json,3378e1be84f5764c0c250cfe050a046728e9a66028bcc51a5c7e033ea9ed3574,2049,ea6dab8c641f377d,71ce1ffcad9c,df617e80457e46f9,False,70,521,128,navrl_ref5in_quad,22.5,28.0,deterministic,original,0,dwa_arc,0.45,0.45,2.0,3.53553390593,3.0,5.0,2.0,0.1,1.0,,,,,,,1766,0.8618838457784285,226,0.11029770619814544,57,0.027818448023426062,0.08125,2.9192389908506047,3.0082048488489628,389120,198,0,1,77,66,54,,,,,,,,
A8_readapt_s521,T2_off,results/navrl_a8_readaptation_seed521/T2_off/70bars.json,1b90c448299613b45850af1a7e5c6c8927519072538874faf36afe0488ae166c,2049,ea6dab8c641f377d,71ce1ffcad9c,df617e80457e46f9,False,70,521,128,navrl_ref5in_quad,22.5,28.0,deterministic,original,0,off,0.45,0.45,2.0,3.53553390593,3.0,5.0,2.0,0.1,1.0,,,,,,,1411,0.6886285993167399,610,0.2977061981454368,28,0.013665202537823329,0.0,3.007696022316815,3.007696022316815,329984,575,0,5,314,121,135,,,,,,,,
