bars,seed,density_per_100m2,target_speed_distribution,target_pattern,requested_episodes,actual_episodes,captured,crash,timeout,capture_rate,crash_rate,timeout_rate,bar_contact_rate,below_rate,above_rate,out_of_bounds_rate,action_policy,action_selection,reflection_mode,lateral_task_input_oob_rate,lateral_executed_edge98_rate,lateral_mean_abs,mean_abs_delta_y,sign_flip_y_rate,speed_governor_mode,speed_governor_target_exclusion,governor_intervention_rate,governor_mean_requested_speed_mps,governor_mean_executed_speed_mps,governor_contact_actual_speed_mps,json_file,log_file
130,47,8.125,fixed:1.1,mixed,2049,2049,1820,187,42,0.8882381649585164,0.09126403123474866,0.020497803806734993,0.08247925817471938,0.007320644216691069,0.0,0.0014641288433382138,squashed_gaussian,deterministic,original,0.0,0.02640285661401777,0.7840381505341073,0.11958951429978955,0.032159967645594825,riskcap,camera_lidar_association,0.15841713968410662,2.8324250836427662,2.7061655954227404,0.980060119270044,/home/fair/workspaces/aerial_gym_ws/src/aerial_gym_simulator/results/navrl_v2_density_speed_map/speed_1p1/130bars.json,/home/fair/workspaces/aerial_gym_ws/src/aerial_gym_simulator/results/navrl_v2_density_speed_map/speed_1p1/130bars.log
160,47,10.0,fixed:1.1,mixed,2049,2049,1785,217,47,0.8711566617862372,0.1059053196681308,0.022938018545632016,0.09907271839921913,0.004880429477794046,0.0,0.0019521717911176184,squashed_gaussian,deterministic,original,0.0,0.03131821576286765,0.7931424705037737,0.11532255010562895,0.028934113015284854,riskcap,camera_lidar_association,0.20145909926470587,2.893542680881243,2.728852420326702,1.0344969971940434,/home/fair/workspaces/aerial_gym_ws/src/aerial_gym_simulator/results/navrl_v2_density_speed_map/speed_1p1/160bars.json,/home/fair/workspaces/aerial_gym_ws/src/aerial_gym_simulator/results/navrl_v2_density_speed_map/speed_1p1/160bars.log
190,47,11.875,fixed:1.1,mixed,2049,2049,1689,320,40,0.8243045387994143,0.15617374328940947,0.019521717911176184,0.14641288433382138,0.007320644216691069,0.0,0.002440214738897023,squashed_gaussian,deterministic,original,0.0,0.03969798368566176,0.8020295903689283,0.115194093894073,0.028148780726100314,riskcap,camera_lidar_association,0.25157614315257354,2.9504614537473466,2.739800621147959,1.0662244271362822,/home/fair/workspaces/aerial_gym_ws/src/aerial_gym_simulator/results/navrl_v2_density_speed_map/speed_1p1/190bars.json,/home/fair/workspaces/aerial_gym_ws/src/aerial_gym_simulator/results/navrl_v2_density_speed_map/speed_1p1/190bars.log
205,47,12.8125,fixed:1.1,mixed,2049,2049,1655,350,44,0.8077110785749146,0.1708150317227916,0.021473889702293802,0.16691068814055637,0.0009760858955588092,0.0,0.0029282576866764276,squashed_gaussian,deterministic,original,0.0,0.04225761217948718,0.8075829339842511,0.11516276697595726,0.028626775721050365,riskcap,camera_lidar_association,0.27244925213675214,2.9774486988837796,2.7476186783840215,1.0816567877187715,/home/fair/workspaces/aerial_gym_ws/src/aerial_gym_simulator/results/navrl_v2_density_speed_map/speed_1p1/205bars.json,/home/fair/workspaces/aerial_gym_ws/src/aerial_gym_simulator/results/navrl_v2_density_speed_map/speed_1p1/205bars.log
220,47,13.75,fixed:1.1,mixed,2049,2049,1600,409,40,0.7808687164470474,0.19960956564177648,0.019521717911176184,0.19326500732064422,0.003904343582235237,0.0,0.002440214738897023,squashed_gaussian,deterministic,original,0.0,0.046654175588865095,0.8113874146463529,0.11716440094697568,0.02889074633304573,riskcap,camera_lidar_association,0.3029644004282655,3.0006862914557453,2.7414093799590757,1.139537280886387,/home/fair/workspaces/aerial_gym_ws/src/aerial_gym_simulator/results/navrl_v2_density_speed_map/speed_1p1/220bars.json,/home/fair/workspaces/aerial_gym_ws/src/aerial_gym_simulator/results/navrl_v2_density_speed_map/speed_1p1/220bars.log
