bars,seed,density_per_100m2,target_speed_distribution,target_pattern,requested_episodes,actual_episodes,captured,crash,timeout,capture_rate,crash_rate,timeout_rate,bar_contact_rate,below_rate,above_rate,out_of_bounds_rate,action_policy,action_selection,reflection_mode,lateral_task_input_oob_rate,lateral_executed_edge98_rate,lateral_mean_abs,mean_abs_delta_y,sign_flip_y_rate,speed_governor_mode,speed_governor_target_exclusion,governor_intervention_rate,governor_mean_requested_speed_mps,governor_mean_executed_speed_mps,governor_contact_actual_speed_mps,json_file,log_file
130,47,8.125,fixed:0.7,mixed,2049,2049,1820,164,65,0.8882381649585164,0.08003904343582235,0.0317227916056613,0.0746705710102489,0.005368472425573451,0.0,0.0,squashed_gaussian,deterministic,original,0.0,0.018324880668257756,0.7836743437874004,0.11805028781130396,0.030167114686918434,riskcap,camera_lidar_association,0.14628952863961814,2.815939788942286,2.7044481022568707,1.1340057306429918,/home/fair/workspaces/aerial_gym_ws/src/aerial_gym_simulator/results/navrl_v2_density_speed_map/speed_0p7/130bars.json,/home/fair/workspaces/aerial_gym_ws/src/aerial_gym_simulator/results/navrl_v2_density_speed_map/speed_0p7/130bars.log
160,47,10.0,fixed:0.7,mixed,2049,2050,1779,196,75,0.8678048780487805,0.09560975609756098,0.036585365853658534,0.08926829268292683,0.005853658536585366,0.0,0.0004878048780487805,squashed_gaussian,deterministic,original,0.0,0.021342566815144765,0.7900003770942943,0.1148346820545234,0.027939856373429085,riskcap,camera_lidar_association,0.18329621380846325,2.873949877257837,2.7336939329954353,1.067767629857923,/home/fair/workspaces/aerial_gym_ws/src/aerial_gym_simulator/results/navrl_v2_density_speed_map/speed_0p7/160bars.json,/home/fair/workspaces/aerial_gym_ws/src/aerial_gym_simulator/results/navrl_v2_density_speed_map/speed_0p7/160bars.log
190,47,11.875,fixed:0.7,mixed,2049,2049,1723,261,65,0.8408979990239142,0.1273792093704246,0.0317227916056613,0.12347486578818936,0.0029282576866764276,0.0,0.0009760858955588092,squashed_gaussian,deterministic,original,0.0,0.027627654334500876,0.8018244645067355,0.11162737365869578,0.026494265549183944,riskcap,camera_lidar_association,0.22674378830998249,2.9340345173801077,2.752885817533252,1.0893852172250098,/home/fair/workspaces/aerial_gym_ws/src/aerial_gym_simulator/results/navrl_v2_density_speed_map/speed_0p7/190bars.json,/home/fair/workspaces/aerial_gym_ws/src/aerial_gym_simulator/results/navrl_v2_density_speed_map/speed_0p7/190bars.log
205,47,12.8125,fixed:0.7,mixed,2049,2049,1664,330,55,0.8121034651049293,0.16105417276720352,0.026842362127867253,0.15519765739385066,0.005368472425573451,0.0,0.0004880429477794046,squashed_gaussian,deterministic,original,0.0,0.029408555216062855,0.8053263572822331,0.1141255279935785,0.027360927880386982,riskcap,camera_lidar_association,0.25069906700130945,2.9603312930300376,2.7578800440520004,1.1334852992832285,/home/fair/workspaces/aerial_gym_ws/src/aerial_gym_simulator/results/navrl_v2_density_speed_map/speed_0p7/205bars.json,/home/fair/workspaces/aerial_gym_ws/src/aerial_gym_simulator/results/navrl_v2_density_speed_map/speed_0p7/205bars.log
220,47,13.75,fixed:0.7,mixed,2049,2049,1638,375,36,0.7994143484626647,0.18301610541727673,0.017569546120058566,0.1795998047828209,0.0014641288433382138,0.0,0.0019521717911176184,squashed_gaussian,deterministic,original,0.0,0.03585917416452442,0.8090686514373508,0.11730685412680572,0.029290875556769406,riskcap,camera_lidar_association,0.28425583761782347,2.988810687350703,2.753145090771242,1.1412479954002344,/home/fair/workspaces/aerial_gym_ws/src/aerial_gym_simulator/results/navrl_v2_density_speed_map/speed_0p7/220bars.json,/home/fair/workspaces/aerial_gym_ws/src/aerial_gym_simulator/results/navrl_v2_density_speed_map/speed_0p7/220bars.log
