bars,seed,density_per_100m2,target_speed_distribution,target_pattern,requested_episodes,actual_episodes,captured,crash,timeout,capture_rate,crash_rate,timeout_rate,bar_contact_rate,below_rate,above_rate,out_of_bounds_rate,action_policy,action_selection,reflection_mode,lateral_task_input_oob_rate,lateral_executed_edge98_rate,lateral_mean_abs,mean_abs_delta_y,sign_flip_y_rate,speed_governor_mode,speed_governor_target_exclusion,governor_intervention_rate,governor_mean_requested_speed_mps,governor_mean_executed_speed_mps,governor_contact_actual_speed_mps,json_file,log_file
130,47,8.125,fixed:0.3,mixed,2049,2049,1809,152,88,0.8828696925329429,0.0741825280624695,0.042947779404587605,0.06881405563689605,0.004880429477794046,0.0,0.0004880429477794046,squashed_gaussian,deterministic,original,0.0,0.013140171279491833,0.7797247881303032,0.1196917296001014,0.02947816643804298,riskcap,camera_lidar_association,0.13743123298548093,2.8021383429546343,2.7027427979334413,0.9896561881487674,/home/fair/workspaces/aerial_gym_ws/src/aerial_gym_simulator/results/navrl_v2_density_speed_map/speed_0p3/130bars.json,/home/fair/workspaces/aerial_gym_ws/src/aerial_gym_simulator/results/navrl_v2_density_speed_map/speed_0p3/130bars.log
160,47,10.0,fixed:0.3,mixed,2049,2050,1765,201,84,0.8609756097560975,0.09804878048780488,0.04097560975609756,0.09463414634146342,0.0034146341463414634,0.0,0.0,squashed_gaussian,deterministic,original,0.0,0.015944829424307035,0.7900511365709528,0.11365897395036782,0.026793384879725084,riskcap,camera_lidar_association,0.17589618869936033,2.865028520321506,2.7327393105828146,1.1662373779360782,/home/fair/workspaces/aerial_gym_ws/src/aerial_gym_simulator/results/navrl_v2_density_speed_map/speed_0p3/160bars.json,/home/fair/workspaces/aerial_gym_ws/src/aerial_gym_simulator/results/navrl_v2_density_speed_map/speed_0p3/160bars.log
190,47,11.875,fixed:0.3,mixed,2049,2050,1694,286,70,0.8263414634146341,0.13951219512195123,0.03414634146341464,0.13414634146341464,0.005365853658536586,0.0,0.0,squashed_gaussian,deterministic,original,0.0,0.02114166311754685,0.8002408235960559,0.11197960921667259,0.025800267454058567,riskcap,camera_lidar_association,0.21994117333901192,2.9287203558168144,2.7572992807587005,1.0821859939260916,/home/fair/workspaces/aerial_gym_ws/src/aerial_gym_simulator/results/navrl_v2_density_speed_map/speed_0p3/190bars.json,/home/fair/workspaces/aerial_gym_ws/src/aerial_gym_simulator/results/navrl_v2_density_speed_map/speed_0p3/190bars.log
205,47,12.8125,fixed:0.3,mixed,2049,2049,1664,305,80,0.8121034651049293,0.1488530990727184,0.03904343582235237,0.14153245485602733,0.007320644216691069,0.0,0.0,squashed_gaussian,deterministic,original,0.0,0.024795780741042345,0.8054570148938642,0.11174652623596584,0.02576603009667066,riskcap,camera_lidar_association,0.23943912866449513,2.9520618449116425,2.762942621705954,1.1252680014947365,/home/fair/workspaces/aerial_gym_ws/src/aerial_gym_simulator/results/navrl_v2_density_speed_map/speed_0p3/205bars.json,/home/fair/workspaces/aerial_gym_ws/src/aerial_gym_simulator/results/navrl_v2_density_speed_map/speed_0p3/205bars.log
220,47,13.75,fixed:0.3,mixed,2049,2049,1597,379,73,0.7794045876037091,0.18496827720839434,0.035627135187896536,0.1800878477306003,0.003416300634455832,0.0,0.0014641288433382138,squashed_gaussian,deterministic,original,0.0,0.030377997106242248,0.8102399692302797,0.11436849477686155,0.027161610116569524,riskcap,camera_lidar_association,0.2692325082678793,2.9803278192338176,2.7638496082478796,1.1427032487683988,/home/fair/workspaces/aerial_gym_ws/src/aerial_gym_simulator/results/navrl_v2_density_speed_map/speed_0p3/220bars.json,/home/fair/workspaces/aerial_gym_ws/src/aerial_gym_simulator/results/navrl_v2_density_speed_map/speed_0p3/220bars.log
