bars,seed,density_per_100m2,target_speed_distribution,target_pattern,requested_episodes,actual_episodes,captured,crash,timeout,capture_rate,crash_rate,timeout_rate,bar_contact_rate,below_rate,above_rate,out_of_bounds_rate,action_policy,action_selection,reflection_mode,lateral_task_input_oob_rate,lateral_executed_edge98_rate,lateral_mean_abs,mean_abs_delta_y,sign_flip_y_rate,speed_governor_mode,speed_governor_target_exclusion,governor_intervention_rate,governor_mean_requested_speed_mps,governor_mean_executed_speed_mps,governor_contact_actual_speed_mps,json_file,log_file
130,47,8.125,"U[0.3,1.5]",mixed,2049,2049,1830,167,52,0.8931185944363104,0.08150317227916057,0.02537823328452904,0.06979014153245486,0.010736944851146901,0.0,0.0009760858955588092,squashed_gaussian,deterministic,original,0.0,0.022655881311939595,0.7819169755812353,0.12047012217577621,0.03136498450148295,riskcap,camera_lidar_association,0.15435494336951391,2.817672315344083,2.6969132281007537,1.0999315316443676,/home/fair/workspaces/aerial_gym_ws/src/aerial_gym_simulator/results/navrl_v2_density_curve_riskcap/130bars.json,/home/fair/workspaces/aerial_gym_ws/src/aerial_gym_simulator/results/navrl_v2_density_curve_riskcap/130bars.log
160,47,10.0,"U[0.3,1.5]",mixed,2049,2049,1734,259,56,0.8462664714494875,0.1264031234748658,0.027330405075646658,0.11761835041483651,0.003904343582235237,0.0,0.004880429477794046,squashed_gaussian,deterministic,original,0.0,0.028846153846153848,0.793109311916671,0.11571255574712384,0.028517144536136737,riskcap,camera_lidar_association,0.19324490613553114,2.8894191765822668,2.73485202091677,1.0767857811232078,/home/fair/workspaces/aerial_gym_ws/src/aerial_gym_simulator/results/navrl_v2_density_curve_riskcap/160bars.json,/home/fair/workspaces/aerial_gym_ws/src/aerial_gym_simulator/results/navrl_v2_density_curve_riskcap/160bars.log
190,47,11.875,"U[0.3,1.5]",mixed,2049,2049,1696,301,52,0.8277208394338702,0.14690092728160078,0.02537823328452904,0.14104441190824793,0.003904343582235237,0.0,0.0019521717911176184,squashed_gaussian,deterministic,original,0.0,0.032515866445916114,0.8027726948392838,0.11350629819576911,0.0276390554136475,riskcap,camera_lidar_association,0.24217025386313465,2.9463706994979058,2.7464810385439566,1.0758934840044347,/home/fair/workspaces/aerial_gym_ws/src/aerial_gym_simulator/results/navrl_v2_density_curve_riskcap/190bars.json,/home/fair/workspaces/aerial_gym_ws/src/aerial_gym_simulator/results/navrl_v2_density_curve_riskcap/190bars.log
205,47,12.8125,"U[0.3,1.5]",mixed,2049,2050,1651,352,47,0.8053658536585366,0.17170731707317075,0.022926829268292682,0.16439024390243903,0.0024390243902439024,0.0,0.004878048780487805,squashed_gaussian,deterministic,original,0.0,0.037500673201206376,0.8067343882680299,0.1154879461068453,0.028852674696180556,riskcap,camera_lidar_association,0.2685399612236105,2.9725816386285127,2.7493733666350852,1.1071463960944192,/home/fair/workspaces/aerial_gym_ws/src/aerial_gym_simulator/results/navrl_v2_density_curve_riskcap/205bars.json,/home/fair/workspaces/aerial_gym_ws/src/aerial_gym_simulator/results/navrl_v2_density_curve_riskcap/205bars.log
220,47,13.75,"U[0.3,1.5]",mixed,2049,2050,1594,398,58,0.7775609756097561,0.19414634146341464,0.02829268292682927,0.18829268292682927,0.002926829268292683,0.0,0.002926829268292683,squashed_gaussian,deterministic,original,0.0,0.0438088897992626,0.8112564451965041,0.11735406686217449,0.029171084818853076,riskcap,camera_lidar_association,0.294663431995084,2.9950388731762274,2.747141430217928,1.1500861822323478,/home/fair/workspaces/aerial_gym_ws/src/aerial_gym_simulator/results/navrl_v2_density_curve_riskcap/220bars.json,/home/fair/workspaces/aerial_gym_ws/src/aerial_gym_simulator/results/navrl_v2_density_curve_riskcap/220bars.log
