# Tilt-comp fine-tune -- speed-axis eval (vs results/general_8m_speed_axis.csv, the pre-tiltcomp general policy)
# checkpoint: runs/ppo_260724_1052_navrl/nn/gen_ppo.pth (warm-started from general ppo_260724_0209, +~1180 epoch WITH tilt comp)
# training: train_navrl_general_8m_finetune.sh with NAVRL_TILT_COMP=1 (now default)
# eval: 128 envs, ~2049 episodes/cell, deterministic, general-spawn recipe, NAVRL_TILT_COMP=1
# FINDING: below fixed (1.82%->0.50% abs) but capture FLAT (0.837->0.837) -- the failure moved from
#          floor to wall (oob 0.89%->2.38% abs), a ~1:1 trade. bar_contact (~13% abs) is untouched and
#          remains the dominant crash cause 4-5x larger than below+oob combined -> the real bottleneck.
target_speed_ms,capture,crash,timeout,crash_bar_contact_share,crash_below_share,crash_oob_share,below_death_step,below_death_tilt_deg
0.0,0.835,0.149,0.017,0.810,0.036,0.154,32,37
0.5,0.846,0.153,0.001,0.828,0.041,0.131,26,26
0.75,0.851,0.149,0.000,0.820,0.033,0.148,19,40
1.0,0.838,0.161,0.000,0.812,0.033,0.155,26,39
1.25,0.838,0.162,0.000,0.840,0.009,0.151,43,28
1.5,0.815,0.185,0.000,0.810,0.037,0.153,22,21
