arm,run,checkpoint,eval_seed,num_envs,bars,requested_episodes,actual_episodes,capture_pct,capture_n,crash_pct,crash_n,timeout_pct,timeout_n,closest_nocrash_m,closest_nocrash_best_m,gate_pass,eval_dir
baseline,ppo_260731_2045_navrl_v2-ttc-baseline-s1,nn/last_gen_ppo_ep_5250_rew__140.70476_.pth,42,64,70,2048,2048,79.443,1627/2048,17.236,353/2048,3.320,68/2048,1.13,0.19,,
ttc,ppo_260801_1532_navrl_v2-ttc-ttc-s1-resume,nn/last_gen_ppo_ep_5250_rew_154.677.pth,42,64,70,2048,2048,89.307,1829/2048,9.180,188/2048,1.514,31/2048,0.70,0.11,PASS,train_session_logs/eval_v2_ppo_260801_1532_navrl_v2-ttc-ttc-s1-resume_260801_181048
