density,side_clearance_m,crossing_rate,largest_component_fraction,random_pair_connectivity,free_area_fraction,placement_fallback_rate,mean_fallback_count
70,0.517,1.0,0.9999139265158498,0.9998281493774863,0.8005325517932723,0.0,0.0
150,0.517,1.0,0.9965610150601643,0.9931635403374969,0.5964336433504122,0.0,0.0
205,0.517,1.0,0.9576749009104967,0.9211235150865349,0.4717552628647804,0.0,0.0
300,0.517,0.3,0.3997878876967486,0.22465057391339957,0.30651383938516374,0.0,0.0
