bars,seed,density_per_100m2,target_speed_distribution,target_pattern,requested_episodes,actual_episodes,captured,crash,timeout,capture_rate,crash_rate,timeout_rate,bar_contact_rate,below_rate,above_rate,out_of_bounds_rate,action_policy,action_selection,reflection_mode,lateral_task_input_oob_rate,lateral_executed_edge98_rate,lateral_mean_abs,mean_abs_delta_y,sign_flip_y_rate,speed_governor_mode,speed_governor_target_exclusion,governor_intervention_rate,governor_mean_requested_speed_mps,governor_mean_executed_speed_mps,governor_contact_actual_speed_mps,json_file,log_file
130,47,8.125,fixed:1.5,mixed,2049,2049,1791,208,50,0.8740849194729137,0.10151293313811616,0.02440214738897023,0.08833577354807223,0.007808687164470474,0.0,0.005368472425573451,squashed_gaussian,deterministic,original,0.0,0.0388570027688048,0.793521689444464,0.11546886631222658,0.030661337209302326,riskcap,camera_lidar_association,0.1753324007844947,2.8675744796802305,2.719656825691412,1.0682117149892434,/home/fair/workspaces/aerial_gym_ws/src/aerial_gym_simulator/results/navrl_v2_density_speed_map/speed_1p5/130bars.json,/home/fair/workspaces/aerial_gym_ws/src/aerial_gym_simulator/results/navrl_v2_density_speed_map/speed_1p5/130bars.log
160,47,10.0,fixed:1.5,mixed,2049,2049,1732,284,33,0.8452903855539288,0.1386041971693509,0.016105417276720352,0.12445095168374817,0.010248901903367497,0.0,0.003904343582235237,squashed_gaussian,deterministic,original,0.0,0.04471476510067114,0.8011349168933212,0.1124451559127667,0.028883002705139764,riskcap,camera_lidar_association,0.2189562360178971,2.9191506040284567,2.732301820205389,1.0910033610813759,/home/fair/workspaces/aerial_gym_ws/src/aerial_gym_simulator/results/navrl_v2_density_speed_map/speed_1p5/160bars.json,/home/fair/workspaces/aerial_gym_ws/src/aerial_gym_simulator/results/navrl_v2_density_speed_map/speed_1p5/160bars.log
190,47,11.875,fixed:1.5,mixed,2049,2050,1656,351,43,0.8078048780487805,0.17121951219512196,0.020975609756097562,0.16048780487804878,0.004878048780487805,0.0,0.005853658536585366,squashed_gaussian,deterministic,original,0.0,0.05062365879828326,0.8049239094932703,0.11497406660851135,0.028490365291405605,riskcap,camera_lidar_association,0.2614236856223176,2.9652979644451958,2.7401683091794387,1.094182101290639,/home/fair/workspaces/aerial_gym_ws/src/aerial_gym_simulator/results/navrl_v2_density_speed_map/speed_1p5/190bars.json,/home/fair/workspaces/aerial_gym_ws/src/aerial_gym_simulator/results/navrl_v2_density_speed_map/speed_1p5/190bars.log
205,47,12.8125,fixed:1.5,mixed,2049,2050,1602,412,36,0.7814634146341464,0.20097560975609757,0.0175609756097561,0.18585365853658536,0.004878048780487805,0.0,0.01024390243902439,squashed_gaussian,deterministic,original,0.0,0.0568396855010661,0.811700638118329,0.11448106932360999,0.028669324527491408,riskcap,camera_lidar_association,0.2970315831556503,2.988968417307106,2.727815909991603,1.1142718701273828,/home/fair/workspaces/aerial_gym_ws/src/aerial_gym_simulator/results/navrl_v2_density_speed_map/speed_1p5/205bars.json,/home/fair/workspaces/aerial_gym_ws/src/aerial_gym_simulator/results/navrl_v2_density_speed_map/speed_1p5/205bars.log
220,47,13.75,fixed:1.5,mixed,2049,2050,1475,534,41,0.7195121951219512,0.2604878048780488,0.02,0.24878048780487805,0.002926829268292683,0.0,0.00878048780487805,squashed_gaussian,deterministic,original,0.0,0.06247481869460113,0.8159955016890426,0.11656854253337526,0.029351453627492308,riskcap,camera_lidar_association,0.31974277296535053,3.009265299570459,2.7272387108187823,1.0619099853852507,/home/fair/workspaces/aerial_gym_ws/src/aerial_gym_simulator/results/navrl_v2_density_speed_map/speed_1p5/220bars.json,/home/fair/workspaces/aerial_gym_ws/src/aerial_gym_simulator/results/navrl_v2_density_speed_map/speed_1p5/220bars.log
